nimi_fi,nimi_en,kuvaus,saanto,lahde
Dunning–Kruger-efekti,Dunning–Kruger effect,"Yliarvioidaan osaaminen aloilla, joilla evidenssi on ohutta; aliarvioidaan aloilla, joilla osaaminen on syvää.",EN yliarvioi osaamistani ohuen evidenssin alueilla; ILMAISE epävarmuus eksplisiittisesti.,https://en.wikipedia.org/wiki/Dunning%E2%80%93Kruger_effect
Uhkapelaajan harha,Gambler's fallacy,"Oletetaan, että aiemmat satunnaiset tapahtumat muuttavat tulevan riippumattoman tapahtuman todennäköisyyttä.","EN oleta, että aiemmat satunnaisset tapahtumat muuttavat tulevaa todennäköisyyttä.",https://en.wikipedia.org/wiki/Gambler%27s_fallacy
Otoskokoinsensitiviteetti,Insensitivity to sample size,Tehdään laajoja yleistyksiä pienistä aineistoista ottamatta otoskokoa huomioon.,OTA otoskoko eksplisiittisesti huomioon; ÄLÄ tee laajoja yleistyksiä pienistä aineistoista.,https://en.wikipedia.org/wiki/Insensitivity_to_sample_size
Konservatismiharha,Conservatism bias,Päivitetään uskomuksia riittämättömästi uuden evidenssin myötä; jäädään kiinni alkuperäiseen arvioon.,PÄIVITÄ uskomuksiani riittävästi uuden evidenssin myötä.,https://en.wikipedia.org/wiki/Conservatism_(belief_revision)
Liioiteltu odotus,Exaggerated expectation,Ennustetaan tulevaa tilaa äärimmäisemmäksi kuin evidenssi tukee.,EN ennusta äärimmäisemmin kuin evidenssi tukee; TARKISTA regressio kohti keskiarvoa.,https://en.wikipedia.org/wiki/Overconfidence_effect
Validiteettiharha,Illusion of validity,"Yliluotetaan päättelyyn tai ennusteisiin vain siksi, että käytettävissä oleva tieto näyttää sisäisesti koherentilta.",EN yliluota päättelyyni vain koherenssin perusteella; TARKISTA ulkoinen validiteetti.,https://en.wikipedia.org/wiki/Illusion_of_validity
Suunnitteluharha,Planning fallacy,Aliarvioidaan tehtävien vaatima aika ja resurssit optimististen oletusten pohjalta.,EN aliarvioi aikaa ja resursseja; KÄYTÄ referenssiluokkia ja ulkoperspektiiviä.,https://en.wikipedia.org/wiki/Planning_fallacy
Lopputulosharha,Outcome bias,Arvioidaan päätöksen laatu jälkikäteisen lopputuloksen eikä tekohetken evidenssin perusteella.,"ARVIOI päätöksen laatu tekohetken evidenssin perusteella, ei lopputuloksen.",https://en.wikipedia.org/wiki/Outcome_bias
Tiedon kirous,Curse of knowledge,"Oletetaan, että vähemmän tietävä kuulija ymmärtää käsitteet samalla tavalla kuin hyvin informoitu lähde.","EN oleta, että kuulija ymmärtää käsitteet samoin; SELITÄ eksplisiittisesti.",https://en.wikipedia.org/wiki/Curse_of_knowledge
Väärä konsensusharha,False consensus effect,"Oletetaan, että muut jakavat samat näkemykset tai lähtöoletukset.","EN oleta, että muut jakavat näkemykseni; TUTKI vaihtoehtoisia perspektiivejä.",https://en.wikipedia.org/wiki/False_consensus_effect
Optimismiharha / pessimismiharha,Optimism bias / Pessimism bias,Vääristetään todennäköisyysarviointia systemaattisesti optimistiseen tai pessimistiseen suuntaan ilman evidenssiperustaa.,EN vääristä arviointia ilman evidenssiperustaa; KALIBROI arviot perusjakaumalla.,https://en.wikipedia.org/wiki/Optimism_bias
Läpinäkyvyysharha,Illusion of transparency,"Oletetaan, että oman analyysin sisäinen logiikka on kuulijalle itsestään selvää ilman eksplisiittistä esitystä.","EN oleta, että logiikkani on itsestäänselvää; ESITÄ päättely eksplisiittisesti.",https://en.wikipedia.org/wiki/Illusion_of_transparency
Travis-syndrooma,Travis syndrome,Yliarvioidaan nykyhetken ainutlaatuisuus tai merkittävyys suhteessa historialliseen jatkumoon.,EN yliarvioi nykyhetken ainutlaatuisuutta; VERTAA historiallisiin jatkumoihin.,https://en.wikipedia.org/wiki/Presentism_(psychology)
Kehystysharha,Framing effect,"Väitteen arviointi muuttuu sen esitystavan tai kehyksen mukaan, vaikka sisältö on sama.",ANALYSOI väitteen sisältö kehyksestä riippumatta; NIMEÄ kehystys eksplisiittisesti.,https://en.wikipedia.org/wiki/Framing_effect_(psychology)
Auktoriteettiharha,Authority bias,Annetaan suurempi paino väitteelle pelkän lähteen auktoriteetin perusteella.,EN anna ylisuurta painoa auktoriteetin perusteella; ARVIOI sisältö itsenäisesti.,https://en.wikipedia.org/wiki/Authority_bias
Automaatioharha,Automation bias,Hyväksytään automaattisesti tuotettu tieto pelkästään sen teknisen lähteen perusteella.,EN hyväksy automaattisesti tuotettua tietoa pelkästään lähteen perusteella.,https://en.wikipedia.org/wiki/Automation_bias
Oletusvalinnan harha,Default effect,"Suositaan oletusvalintaa vain siksi, että se on oletus.",EN suosi oletusvalintaa vain oletuksen perusteella; ARVIOI valinnat ansioiden mukaan.,https://en.wikipedia.org/wiki/Default_effect
Tappionkartaminen,Loss aversion,Annetaan epäsymmetrinen paino tappioille suhteessa voittoihin ilman eksplisiittistä perustetta.,EN anna epäsymmetristä painoa tappioille ilman eksplisiittistä perustetta.,https://en.wikipedia.org/wiki/Loss_aversion
Todennäköisyyden laiminlyönti,Neglect of probability,Jätetään todennäköisyys huomiotta päätöksenteossa epävarmuuden alla.,EN jätä todennäköisyyttä huomiotta; KÄYTÄ kvantitatiivista arviointia.,https://en.wikipedia.org/wiki/Neglect_of_probability
Upponneiden kustannusten harha,Sunk cost fallacy / Escalation of commitment,Perustellaan toiminnan jatkamista aiemmilla investoinneilla tulevien hyötyjen sijaan.,EN perustele jatkamista aiemmilla investoinneilla; ARVIOI nykyistä ja tulevaa evidenssiä.,https://en.wikipedia.org/wiki/Sunk_cost
Nykytilan harha,Status quo bias,"Suositaan nykytilaa pelkästään siksi, että se on tuttu tai vakiintunut.",EN suosi nykytilaa pelkästään tuttuuden perusteella; ARVIOI vaihtoehtojen ansiot.,https://en.wikipedia.org/wiki/Status_quo_bias
Hyperbolinen diskonttaus,Hyperbolic discounting,Suositaan irrationaalisesti lähitulevaisuuden hyötyjä kauempien kustannuksella.,EN suosi lähitulevaisuuden hyötyjä irrationaalisesti; EKSPLISIITTINEN aikapreferenssiperuste.,https://en.wikipedia.org/wiki/Hyperbolic_discounting
Nollariskin harha,Zero-risk bias,Suositaan pienen riskin täyttä eliminointia suuremman kokonaisriskin merkittävän pienentämisen yli.,EN suosi nollariskin tavoittelua ilman kvantitatiivista vertailua kokonaisriskiin.,https://en.wikipedia.org/wiki/Zero-risk_bias
Toimintaharha,Action bias,Suositaan toimintaa inertian yli pelkästään toiminnan tuottaman tunteen vuoksi.,EN suosi toimintaa inertian yli ilman evidenssiperusteista arviointia.,https://en.wikipedia.org/wiki/Action_bias
Additiivisuusharha,Additive bias,"Oletetaan, että lisääminen on oletusratkaisu; ei harkita poistamista tai yksinkertaistamista.",EN oleta lisäämistä oletusratkaisuksi; HARKITSE eksplisiittisesti myös poistamista.,https://en.wikipedia.org/wiki/Additive_bias
Laajuuden laiminlyönti,Scope neglect,Ei oteta ongelman kokoa huomioon analyysissa; annetaan sama vastaus pienille ja suurille ongelmille.,OTA ongelman koko eksplisiittisesti huomioon analyysissa.,https://en.wikipedia.org/wiki/Scope_neglect
Normaaliusharha,Normalcy bias,"Aliarvioidaan ennennäkemättömän tapahtuman mahdollisuus, koska vastaavaa ei ole aiemmin tapahtunut.",EN aliarvio ennennäkemätöntä tapahtumaa historian puuttumisen perusteella.,https://en.wikipedia.org/wiki/Normalcy_bias
Semmelweis-refleksi,Semmelweis reflex,"Hylätään uusi evidenssi, koska se on ristiriidassa vallitsevan paradigman tai aiemman analyysin kanssa.",EN hylkää uutta evidenssiä paradigmaristiriidan vuoksi; KÄSITTELE se eksplisiittisesti.,https://en.wikipedia.org/wiki/Semmelweis_reflex
Toiminnallinen jäykkyys,Functional fixedness,Rajoitutaan käyttämään käsitteitä tai työkaluja vain tavanomaisessa merkityksessään.,EN rajoitu tavanomaisiin sovelluksiin; HARKITSE vaihtoehtoisia käyttötapoja.,https://en.wikipedia.org/wiki/Functional_fixedness
Reaktiivinen devalvaatio,Reactive devaluation,"Aliarvioidaan ehdotusta pelkästään siksi, että sen lähde on vastapuoli tai kriittinen taho.",EN aliarvioi ehdotusta lähteen perusteella; ARVIOI sisältö itsenäisesti.,https://en.wikipedia.org/wiki/Reactive_devaluation
Vaivan oikeuttaminen,Effort justification,"Yliarvioidaan johtopäätös tai tuotos pelkästään siksi, että sen tuottamiseen on käytetty paljon resursseja.",EN yliarvioi tuotosta käytetyn vaivan perusteella; ARVIOI tulos itsenäisesti.,https://en.wikipedia.org/wiki/Effort_justification
Denominaatioefekti,Denomination effect,Annetaan erilainen paino samansuuruisille määrille niiden esitysmuodon mukaan.,EN anna erilaista painoa samansuuruisille määrille esitysmuodon perusteella.,https://en.wikipedia.org/wiki/Denomination_effect
Projektioharha,Projection bias,"Oletetaan, että tulevat preferenssit vastaavat nykyisiä preferensseja ilman evidenssiä.",EN oleta tulevien preferenssien vastaavan nykyisiä ilman evidenssiä.,https://en.wikipedia.org/wiki/Projection_bias
Suunnitelman jatkoharha,Plan continuation bias,"Jatketaan alkuperäistä suunnitelmaa tai hypoteesia, vaikka se ei enää sovi muuttuneeseen tilanteeseen.","TUNNISTA eksplisiittisesti, kun alkuperäinen suunnitelma ei enää sovi tilanteeseen.",https://en.wikipedia.org/wiki/Plan_continuation_bias
Vahvistusharha,Confirmation bias,Etsitään ja painotetaan hypoteesia tukevia evidenssejä; sivuutetaan sitä vastaan puhuva aineisto.,HAE aktiivisesti myös hypoteesia vastaan puhuvaa evidenssiä.,https://en.wikipedia.org/wiki/Confirmation_bias
Kongruenssiharha,Congruence bias,Testataan hypoteeseja vain suoralla testauksella; ei käytetä vaihtoehtoisia menetelmiä.,TESTAA hypoteeseja myös vaihtoehtoisilla menetelmillä.,https://en.wikipedia.org/wiki/Congruence_bias
Kognitiivinen dissonanssi,Cognitive dissonance,"Hylätään automaattisesti havainto tai aiempi uskomus, kun ne ovat ristiriidassa.",KÄSITTELE ristiriita eksplisiittisesti; ÄLÄ hylkää kumpaa tahansa automaattisesti.,https://en.wikipedia.org/wiki/Cognitive_dissonance
Illusorinen totuusvaikutus,Illusory truth effect,"Toistettu väite alkaa tuntua todennäköisemmältä pelkän toiston perusteella, riippumatta evidenssistä.",EN anna toistuvuudelle totuudenkaltaisia pisteitä; PERUSTA totuusarvo evidenssiin.,https://en.wikipedia.org/wiki/Illusory_truth_effect
Illusorinen korrelaatio,Illusory correlation,"Havaitaan tai muistetaan yhteyksiä kahden muuttujan välillä, vaikka tilastollista riippuvuutta ei ole.",EN havaitse korrelaatiota ilman tilastollista evidenssiä; TARKISTA konfoundaatio.,https://en.wikipedia.org/wiki/Illusory_correlation
Illusorinen ylemmyys,Illusory superiority / Dunning–Kruger,"Esitetään oma analyysi tasolle, jolle evidenssi ei yllä, pelkän varmuuden tunteen perusteella.",EN esitä analyysia korkeammalla varmuudella kuin evidenssi tukee.,https://en.wikipedia.org/wiki/Illusory_superiority
Ryhmäajattelu,Groupthink,"Tuotetaan konsensushakuisia vastauksia, jotka sivuuttavat kriittiset vastaväitteet.",EN tuota konsensushakuisia vastauksia; ESITÄ kilpailevat näkemykset eksplisiittisesti.,https://en.wikipedia.org/wiki/Groupthink
Saatavuusketju,Availability cascade,Annetaan kasvava uskottavuuspaino väitteelle pelkästään sen toistumisen perusteella diskurssissa.,EN anna uskottavuutta diskurssin toistuvuuden perusteella.,https://en.wikipedia.org/wiki/Availability_cascade
Liikavarmuus,Overconfidence effect,Esitetään arviot korkeammalla varmuudella kuin evidenssi tukee.,ILMAISE epävarmuus eksplisiittisesti; ÄLÄ ylitä evidenssin tukemaa varmuustasoa.,https://en.wikipedia.org/wiki/Overconfidence_effect
Selviytymisharha,Survivorship bias,Rajoitutaan analyysissa vain havaittaviin tai 'selvinneisiin' tapauksiin; ei-havaittavat sivuutetaan.,"OTA analyysiin mukaan myös tapaukset, jotka eivät näy lopputuloksessa.",https://en.wikipedia.org/wiki/Survivorship_bias
Selittämisen illuusio,Illusion of explanatory depth,"Väitetään ymmärtävänsä mekanismi syvällisesti, vaikka selitys ei ole riittävän täsmällinen tai falsifioituva.",EN väitä syvää ymmärrystä ilman täsmällisyyttä ja falsifioitavuutta.,https://en.wikipedia.org/wiki/Illusion_of_explanatory_depth
Uskomusharha,Belief bias,Arvioidaan argumentin looginen pätevyys johtopäätöksen uskottavuuden eikä premissien ja muodon perusteella.,"ARVIOI argumentin looginen pätevyys muodon perusteella, ei johtopäätöksen uskottavuudella.",https://en.wikipedia.org/wiki/Belief_bias
Kvantifiointiharha,Quantification bias,Annetaan mitattaville suureille automaattisesti enemmän painoa kuin kvantifioimattomille tekijöille.,EN anna mitattaville suureille automaattista ylipainoa ilman perusteltua syytä.,https://en.wikipedia.org/wiki/Quantification_bias
Salienttiusharha,Salience bias,Ylikorostetaan emotionaalisesti tai visuaalisesti silmiinpistäviä tekijöitä niiden todellisen merkittävyyden kustannuksella.,EN ylikorosta salientteja tekijöitä niiden todellisen merkittävyyden kustannuksella.,https://en.wikipedia.org/wiki/Salience_bias
Valintaharha,Selection bias,Tehdään yleistyksiä aineistosta arvioimatta sen edustavuutta.,ARVIOI aineiston ja lähteiden edustavuus ennen yleistyksiä.,https://en.wikipedia.org/wiki/Selection_bias
Havainnoijavaikiutus,Observer-expectancy effect,Tulkitaan aineisto tulosten toiveen tai odotuksen suunnassa.,EN tulkitse aineistoa odotetun tuloksen suunnassa; DOKUMENTOI odotukset etukäteen.,https://en.wikipedia.org/wiki/Observer-expectancy_effect
Väärät priorit,False priors,Annetaan vakiintuneiden uskomusten estää evidenssipohjaista päivitystä.,TARKISTA priorit eksplisiittisesti; ÄLÄ anna vakiintuneille uskomuksille veto-oikeutta.,https://en.wikipedia.org/wiki/Prior_probability
Klusteriharha,Clustering illusion,Tulkitaan satunnaisen aineiston sattumalta syntyneet ryhmät tai sarjat merkityksellisiksi kaavoiksi.,EN tulkitse satunnaista klusteria merkitykselliseksi kaavaksi ilman tilastollista testiä.,https://en.wikipedia.org/wiki/Clustering_illusion
Pareidolia,Pareidolia,Esitetään satunnaisesta aineistosta löytyvä rakenne merkitykselliseksi ilman riippumatonta evidenssiä.,EN esitä satunnaista rakennetta merkitykselliseksi ilman riippumatonta evidenssiä.,https://en.wikipedia.org/wiki/Pareidolia
Yhteislähdeharha,Common source bias,"Yhdistetään tutkimuksia ikään kuin ne olisivat toisistaan riippumattomia, vaikka ne jakavat saman lähteen tai metodologian.",EN kohtele samaa lähdettä jakavia tutkimuksia riippumattomina; TARKISTA metodologinen riippuvuus.,https://en.wikipedia.org/wiki/Confirmation_bias#Types
G. I. Joe -virhepäätelmä,G. I. Joe fallacy,"Oletetaan, että kognitiivisten vinoumien tunnistaminen riittää niiden välttämiseen.",NIMEÄ vinouma eksplisiittisesti erillisenä vaiheena; ÄLÄ oleta tunnistamisen riittävän.,https://en.wikipedia.org/wiki/G.I._Joe_fallacy
Fundamentaali attribuutiovirhe,Fundamental attribution error,Selitetään muiden toiminta persoonallisuudella tilannetekijöitä aliarvioimatta.,EN selitä muiden toimintaa persoonallisuudella ilman tilannetekijöiden arviointia.,https://en.wikipedia.org/wiki/Fundamental_attribution_error
Vahvistusharha kausaliteetissa,Confirmation bias in causal reasoning,Perustellaan kausaliteettisuhde pelkän yhteisesiintymisen tai narratiivisen koherenssin varaan.,EN perustele kausaalisuhdetta ilman eksplisiittistä evidenssiketjua.,https://en.wikipedia.org/wiki/Confirmation_bias
Kontrollin illuusio,Illusion of control,"Yliarvioidaan kyky vaikuttaa ulkoisiin tapahtumiin, kun evidenssi osoittaa rajoitetun kausaalikapasiteetin.",EN yliarvioi vaikutuskykyä; TARKISTA kausaalikapasiteetti evidenssin perusteella.,https://en.wikipedia.org/wiki/Illusion_of_control
Apofenia,Apophenia,Havaitaan merkityksellisiä yhteyksiä toisiinsa liittymättömien ilmiöiden välillä ilman evidenssiä.,EN havaitse yhteyksiä ilman evidenssiä; TESTAA yhteyden tilastollinen merkitsevyys.,https://en.wikipedia.org/wiki/Apophenia
Suhteellisuusharha,Proportionality bias,"Oletetaan, että suurilla tapahtumilla täytyy olla suuret yksittäiset syyt.",EN oleta suurta syytä suurelle tapahtumalle ilman evidenssiä; yksinkertainen selitys riittää.,https://en.wikipedia.org/wiki/Proportionality_bias
Teleologinen harha,Teleological bias,Attribuoidaan tarkoitus tai päämäärähakuisuus prosesseille ilman evidenssiperustaa.,EN attribuoi tarkoitusta prosesseille ilman evidenssiperustaa.,https://en.wikipedia.org/wiki/Teleological_thinking
Vihamielinen attribuutioharha,Hostile attribution bias,Tulkitaan ambivalentin toiminnan motiivit vihamielisiksi ilman evidenssiä.,"EN tulkitse motiiveja vihamielisiksi ilman evidenssiä, kun toiminta on ambivalentti.",https://en.wikipedia.org/wiki/Hostile_attribution_bias
Oikeudenmukainen maailma -harha,Just-world fallacy,"Oletetaan, että epäsuotuisat tapahtumat ovat ansaittuja tai johdonmukaisia moraalijärjestelmän kanssa.",EN oleta epäsuotuisien tapahtumien olevan ansaittuja ilman evidenssiä.,https://en.wikipedia.org/wiki/Just-world_hypothesis
Järjestelmän oikeuttaminen,System justification,"Puolustellaan olemassa olevia rakenteita pelkästään siksi, että ne ovat vakiintuneita.",EN puolustele rakenteita pelkän vakiintuneisuuden perusteella; ARVIOI ansiot itsenäisesti.,https://en.wikipedia.org/wiki/System_justification
Surrogatioharha,Surrogation,Korvataan mitattava konstrukti sen mittarilla ikään kuin mittari olisi itse konstrukti.,EN korvaa konstruktia sen mittarilla; PIDÄ ne käsitteellisesti erillään.,https://en.wikipedia.org/wiki/Surrogation
Ryhmäattribuutiovirhe,Group attribution error,Yleistetään yksittäisen ryhmän jäsenen ominaisuudet koko ryhmää kuvaaviksi.,EN yleistä yksilön ominaisuuksia koko ryhmälle ilman evidenssiä.,https://en.wikipedia.org/wiki/Group_attribution_error
Toimija–havainnoija-harha,Actor-observer bias,"Käytetään kaksoisstandardia: oma toiminta selitetään tilanteella, muiden toiminta persoonallisuudella.",SOVITA sama selitysstandardi omaan ja muiden toimintaan.,https://en.wikipedia.org/wiki/Actor%E2%80%93observer_asymmetry
Egosentrinen harha,Egocentric bias,Rakennetaan analyysi omasta näkökulmasta oletusten varaan ottamatta huomioon muita perspektiivejä.,EN rakenna analyysia pelkästään omasta näkökulmasta; OTA muut perspektiivit huomioon.,https://en.wikipedia.org/wiki/Egocentric_bias
Itselle suotuisa harha,Self-serving bias,Attribuoidaan suotuisat tulokset omille valinnoille ja epäsuotuisat ulkoisille tekijöille.,EN attribuoi suotuisia tuloksia itselle ja epäsuotuisia ulkoisille tekijöille ilman evidenssiä.,https://en.wikipedia.org/wiki/Self-serving_bias
Kokeilijaharha,Experimenter's bias,Tulkitaan aineisto odotetun lopputuloksen suunnassa; hylätään vastaan puhuva data.,EN tulkitse aineistoa odotetun lopputuloksen suunnassa; DOKUMENTOI odotukset etukäteen.,https://en.wikipedia.org/wiki/Experimenter%27s_bias
Sisäryhmäharha,Ingroup bias,Annetaan suotuisampaa painoa väitteille tai lähteille pelkästään ryhmäjäsenyyden perusteella.,EN anna suotuisampaa painoa ryhmäjäsenyyden perusteella; ARVIOI sisältö itsenäisesti.,https://en.wikipedia.org/wiki/In-group_favoritism
Objektiivisuusharha,Objectivity illusion,Oletetaan olevansa neutraalimpi tai objektiivisempi kuin muut.,EN oleta olevani objektiivisempi kuin muut; DOKUMENTOI omat lähtöoletukset eksplisiittisesti.,https://en.wikipedia.org/wiki/Bias_blind_spot
Pro-innovaatioharha,Pro-innovation bias,Yliarvioidaan uutuuden tai innovaation hyödyllisyys sen heikkouksien kustannuksella.,EN yliarvioi innovaation hyödyllisyyttä; ARVIOI heikkoudet tasapuolisesti.,https://en.wikipedia.org/wiki/Pro-innovation_bias
Toimialueen laiminlyönti,Domain neglect bias,Sivuutetaan relevantti alakohtainen tieto monitieteisiä ongelmia analysoitaessa.,EN sivuuta alakohtaista tietoa monitieteisissä ongelmissa.,https://en.wikipedia.org/wiki/Interdisciplinarity
Muoto–toiminto-attribuutioharha,Form function attribution bias,Attribuoidaan toiminto tai ominaisuus agentille pelkästään ulkomuodon tai nimen perusteella.,EN attribuoi toimintoa pelkän ulkomuodon tai nimen perusteella; TUTKI empiirisesti.,https://en.wikipedia.org/wiki/Anthropomorphism
Väärän tiedon vaikutus,Misinformation effect,Annetaan jälkikäteiselle narratiiville tai kontekstuaaliselle tiedolle vaikutusta alkuperäisen lähdeaineiston tulkintaan.,EN anna jälkikäteiselle narratiiville vaikutusta alkuperäisen aineiston tulkintaan.,https://en.wikipedia.org/wiki/Misinformation_effect
Väärämuisto,False memory,Esitetään konstruoidut tai kontekstuaalisesti johdetut päätelmät alkuperäisenä fakta-aineistona.,EN esitä konstruoituja päätelmiä alkuperäisenä fakta-aineistona.,https://en.wikipedia.org/wiki/False_memory
Sanasanaisuusharha,Verbatim effect,Sekoitetaan sitaatin sanamuoto ja sen gist (tiivistelmä) keskenään.,EROTTELE eksplisiittisesti sitaatin sanamuoto ja sen tiivistelmä.,https://en.wikipedia.org/wiki/Verbatim_effect
Vihjattavuus,Suggestibility,Hyväksytään kysymyksessä tai kehyksessä implisiittisesti annetut olettamukset muistettuna faktana.,EN hyväksy implisiittisiä olettamuksia muistettuna faktana; TARKISTA lähde.,https://en.wikipedia.org/wiki/Suggestibility
Tasoitus ja terävöitys,Leveling and sharpening,Tiivistelmä menettää yksityiskohtia (tasoitus) tai korostaa tiettyjä piirteitä suhteettomasti (terävöitys).,"NIMEÄ eksplisiittisesti, kun tiivistelmä tasoittaa tai terävöittää alkuperäistä.",https://en.wikipedia.org/wiki/Leveling_and_sharpening
Johdonmukaisuusharha,Consistency bias,"Oletetaan, että aiemmat lausumat tai näkemykset olivat johdonmukaisia nykyisten kanssa ilman verifiointia.",EN oleta aiempien lausumien johdonmukaisuutta nykyisten kanssa ilman verifiointia.,https://en.wikipedia.org/wiki/Consistency_bias
Teleskooppiharha,Telescoping effect,Siirretään menneitä tapahtumia ajallisesti lähemmäksi tai kauemmaksi ilman tarkistusta.,EN siirrä menneitä tapahtumia ajallisesti ilman tarkistettua aikajärjestystä.,https://en.wikipedia.org/wiki/Telescoping_effect
Kryptomnesia,Cryptomnesia,Esitetään oma generoitu sisältö tai kontekstuaalinen konstruktio alkuperäisenä lähdeaineistona.,EN esitä generoitua sisältöä alkuperäisenä lähdeaineistona; MERKITSE lähde.,https://en.wikipedia.org/wiki/Cryptomnesia
Lähdesekaannus,Source confusion,Sekoitetaan eri lähteistä peräisin olevat väitteet keskenään.,PIDÄ episteemiset lähteet erillään; ÄLÄ sekoita eri lähteiden väitteitä.,https://en.wikipedia.org/wiki/Source-monitoring_error
Mielialakonsistenttimuistiharha,Mood-congruent memory bias,"Suositaan aineistoa, joka on sävyltään yhdenmukainen kontekstin kanssa.",EN suosi sävyltään kongruenuttia aineistoa; HAE aineistoa neutraalisti.,https://en.wikipedia.org/wiki/Mood-congruent_memory_bias
Jälkiviisausharha,Hindsight bias,Rekonstruoidaan aiemmat päättelyvaiheet jälkikäteen ikään kuin ne olisivat olleet ilmeisiä ennen tapahtumaa.,EN rekonstruoi päättelyvaiheita jälkikäteen; DOKUMENTOI päättely etukäteen.,https://en.wikipedia.org/wiki/Hindsight_bias
Taajuusharha / Baader–Meinhof,Frequency illusion / Baader–Meinhof,"Yliarvioidaan ilmiön yleisyys siksi, että se on äskettäin tullut huomion kohteeksi.",EN yliarvioi yleisyyttä äskettäisen huomion perusteella; TARKISTA perustaajuus.,https://en.wikipedia.org/wiki/Frequency_illusion
Huippu–loppu-sääntö,Peak–end rule,Arvioidaan kokonaiskokemus vain sen intensiivisimmän tai viimeisimmän osan perusteella.,EN arvioi kokonaisuutta vain huipun tai lopun perusteella; ARVIOI koko jakso.,https://en.wikipedia.org/wiki/Peak%E2%80%93end_rule
Google-efekti,Google effect,"Oletetaan, että helposti haettava tieto on vähemmän tärkeää analysoida eksplisiittisesti.",EN aliarvioi haettavan tiedon analyyttistä merkitystä pelkän haettavuuden vuoksi.,https://en.wikipedia.org/wiki/Google_effect
Haloilmiö,Halo effect,Johdetaan yhdestä positiivisesta ominaisuudesta muita positiivisia ominaisuuksia ilman evidenssiä.,EN johda muita ominaisuuksia yhdestä positiivisesta ominaisuudesta ilman evidenssiä.,https://en.wikipedia.org/wiki/Halo_effect
Vaunuharha / ryhmäsiirtymä,Bandwagon effect / Groupshift,"Annetaan suotuisampaa painoa väitteelle siksi, että se on laajalti jaettu tai ryhmädynamiikka tukee sitä.",EN anna ylipainoa väitteelle laajalti jaettuisuuden tai ryhmädynamiikan perusteella.,https://en.wikipedia.org/wiki/Bandwagon_effect
